brand,ram,rom,Expandable Upto,Processor,Front camera,Rear Camera,Screen Size,battery,Colour,Display,lithium ion battery,avg_rating,original_price
POCO,4,64,512, MediaTek Helio | G35 ,5,13,16.59,5000,Royal Blue, HD ,1,4.4,11999
POCO,4,64,512, MediaTek Helio | G35 ,5,13,16.59,5000,Shadow Gray, HD ,1,4.4,11999
realme,4,64,1024, Unisoc |  T616 ,8,50,16.76,5000,Glowing Green, Full HD ,1,4.4,13999
OPPO,6,128,1024, Qualcomm Snapdragon | 680 ,16,50,16.74,5000,Black Carbon, Full HD ,1,4.4,18999
MOTOROLA,6,128,512, Qualcomm Snapdragon | 732G ,32,108,17.22,6000,Soft Silver, Full HD ,0,4.2,21999
realme,2,32,256, MediaTek Helio | G35 ,5,8,16.51,5000,Cool Grey, HD ,0,4.4,7999
realme,2,32,256, MediaTek Helio | G35 ,5,8,16.51,5000,Cool Blue, HD ,0,4.4,7999
POCO,3,32,512, MediaTek Helio | G35 ,5,13,16.59,5000,Royal Blue, HD ,1,4.4,10999
realme,4,64,1024, Qualcomm Snapdragon | 680  ,16,50,16.76,5000,Prism Blue, Full HD ,1,4.5,15999
realme,4,64,1024, Qualcomm Snapdragon | 680  ,16,50,16.76,5000,Prism Black, Full HD ,1,4.5,15999
realme,4,128,1024, Unisoc |  T616 ,8,50,16.76,5000,Glowing Black, Full HD ,1,4.4,14999
REDMI,6,128,1024, Qualcomm Snapdragon | 680 ,5,50,17.02,6000,Caribbean Green, HD ,1,4.6,16999
realme,4,128,1024, Qualcomm Snapdragon | 680  ,16,50,16.76,5000,Prism Black, Full HD ,1,4.5,16999
REDMI,6,128,1024, Qualcomm Snapdragon | 680 ,5,50,17.02,6000,Midnight Black, HD ,1,4.6,16999
POCO,4,64,1024, MediaTek Dimensity | 700 ,8,48,16.51,5000,Power Black, Full HD ,1,4.3,15999
POCO,4,64,1024, MediaTek Dimensity | 700 ,8,48,16.51,5000,Yellow, Full HD ,1,4.3,15999
REDMI,4,64,512, MediaTek Helio | G25 ,5,13,16.59,5000,Carbon Black, HD ,1,4.4,9999
POCO,6,128,1024, MediaTek Dimensity | 700 ,8,48,16.51,5000,Cool Blue, Full HD ,1,4.2,17999
POCO,4,64,1024, MediaTek Dimensity | 700 ,8,48,16.51,5000,Cool Blue, Full HD ,1,4.3,15999
realme,6,128,1024, Qualcomm Snapdragon | 680  ,16,50,16.76,5000,Prism Blue, Full HD ,1,4.3,17999
realme,4,64,256, Unisoc | T610  ,8,50,16.51,5000,Metal Grey, HD ,0,4.5,12999
SAMSUNG,6,128,1024, Qualcomm Snapdragon | 750G ,8,50,16.76,5000,Forest Green, Full HD ,1,4.2,23999
SAMSUNG,6,128,1024, Qualcomm Snapdragon | 750G ,8,50,16.76,5000,Aqua Blue, Full HD ,1,4.2,23999
realme,4,64,256, Unisoc | T610 ,5,13,16.51,5000,Cross Blue, HD ,0,4.5,10999
realme,3,32,256, Unisoc | T610 ,5,13,16.51,5000,Cross Black, HD ,0,4.6,9999
vivo,4,128,1024, Qualcomm Snapdragon | 695 ,16,50,16.71,5000,Starlight Black, Full HD ,1,4.3,19990
vivo,6,128,1024, Qualcomm Snapdragon | 695 ,16,50,16.71,5000,Starlight Black, Full HD ,1,4.4,20990
vivo,4,128,1024, Qualcomm Snapdragon | 695 ,16,50,16.71,5000,Rainbow Fantasy, Full HD ,1,4.4,19990
realme,3,32,256, Unisoc | T610 ,5,13,16.51,5000,Cross Blue, HD ,0,4.6,9999
MOTOROLA,4,64,1024, Unisoc | T700 ,8,48,16.51,5000,Pink Clay, HD ,0,4.1,10999
vivo,6,128,1024, Qualcomm Snapdragon | 695 ,16,50,16.71,5000,Rainbow Fantasy, Full HD ,1,4.4,20990
MOTOROLA,4,64,1024, Unisoc | T700 ,8,48,16.51,5000,Carbon Gray, HD ,0,4.1,10999
realme,6,128,1024, Qualcomm Snapdragon | 680  ,16,50,16.76,5000,Prism Black, Full HD ,1,4.3,17999
MOTOROLA,4,64,1024, MediaTek Helio | G85 ,13,50,16.26,5000,Baby Blue, Full HD ,1,4.3,13999
realme,4,128,1024, Qualcomm Snapdragon | 680  ,16,50,16.76,5000,Prism Blue, Full HD ,1,4.5,16999
REDMI,4,64,512, MediaTek Helio | G25 ,5,13,16.59,5000,Coral Green, HD ,1,4.4,9999
realme,4,64,1024, MediaTek Dimensity | 810 ,16,48,16.51,5000,Stargaze White, Full HD ,1,4.4,18999
realme,6,128,1024, MediaTek Dimensity | 810 ,16,48,16.51,5000,Meteor Black, Full HD ,1,4.4,20999
POCO,6,128,1024, MediaTek Dimensity | 700 ,8,48,16.51,5000,Yellow, Full HD ,1,4.2,17999
Infinix,4,64,512, MediaTek Helio | G88 ,16,50,17.02,5000,Graphite Black, Full HD AMOLED ,1,4.2,14999
Infinix,6,128,512, MediaTek Helio | G88 ,16,50,17.02,5000,Graphite Black, Full HD AMOLED ,1,4.2,16999
REDMI,6,128,512, Qualcomm Snapdragon | 732G ,16,64,16.94,5020,Dark Night, Full HD ,1,4.3,19999
POCO,6,128,1024, MediaTek Dimensity | 700 ,8,48,16.51,5000,Power Black, Full HD ,1,4.2,17999
MOTOROLA,4,64,1024, MediaTek Helio | G25 ,5,13,16.54,5000,Tahiti Blue, HD ,0,4.1,11999
REDMI,6,128,1024, Qualcomm Snapdragon | 680 ,5,50,17.02,6000,Pacific Blue, HD ,1,4.6,16999
realme,4,64,256, Octa-core ,5,8,16.51,5000,Cool Grey, HD ,0,4.3,9999
realme,2,32,256, Octa-core ,5,8,16.51,5000,Cool Blue, HD ,0,4.4,7999
realme,2,32,256, Octa-core ,5,8,16.51,5000,Cool Grey, HD ,0,4.4,7999
SAMSUNG,4,64,512, Exynos 850 ,8,48,16.55,6000,Sky Blue, HD ,1,4.3,12999
REDMI,4,64,512, MediaTek Helio | G25 ,5,13,16.59,5000,Metallic Blue, HD ,1,4.4,9999
MOTOROLA,6,128,256, Qualcomm Snapdragon | 732G ,16,64,17.22,6000,Dynamic Gray, Full HD ,0,4.3,19999
OPPO,4,128,256, MediaTek Helio | P35 ,16,13,16.54,5000,Starry Blue, HD ,1,4.3,15990
REDMI,6,128,512, Qualcomm Snapdragon | 732G ,16,64,16.94,5020,Vintage Bronze, Full HD ,1,4.3,19999
OPPO,4,64,256, MediaTek Helio | P35 ,16,13,16.54,5000,Crystal Black, HD ,1,4.3,14990
realme,6,128,256, Qualcomm Snapdragon | 695 ,16,64,16.76,5000,Aurora Green, Full HD ,1,4.4,21999
realme,6,128,256, Qualcomm Snapdragon | 695 ,16,64,16.76,5000,Sunrise Blue, Full HD ,1,4.4,21999
realme,6,128,256, Qualcomm Snapdragon | 695 ,16,64,16.76,5000,Midnight Black, Full HD ,1,4.4,21999
realme,4,128,256, MediaTek Helio | G95 ,16,64,16.26,5000,Cyber Silver, Full HD ,0,4.3,16999
realme,4,128,256, MediaTek Helio | G95 ,16,64,16.26,5000,Cyber Black, Full HD ,0,4.3,16999
POCO,4,64,512, MediaTek Helio | G35 ,5,13,16.59,5000,Matte Black, HD ,1,4.3,10999
MOTOROLA,4,64,1024, MediaTek Helio | G85 ,13,50,16.26,5000,Meteorite Grey, Full HD ,1,4.3,13999
OPPO,4,128,256, MediaTek Helio | P35 ,16,13,16.54,5000,Crystal Black, HD ,1,4.3,15990
OPPO,6,128,256, MediaTek Helio | P35 ,16,13,16.54,5000,Crystal Black, HD ,1,4.3,17990
Infinix,4,64,512, MediaTek Helio | G88 ,16,50,17.02,5000,Glacier Green, Full HD AMOLED ,1,4.2,14999
Infinix,4,64,512, MediaTek Helio | G88 ,16,50,17.02,5000,Celestial Snow, Full HD AMOLED ,1,4.2,14999
realme,4,64,256, Octa-core ,5,8,16.51,5000,Cool Blue, HD ,0,4.3,9999
SAMSUNG,4,64,512, Exynos 850 ,8,48,16.55,6000,Sea Green, HD ,1,4.3,12999
Infinix,4,64,256, MediaTek Helio | G35 ,8,13,17.32,6000,Aegean Blue, HD ,1,4.3,10999
